"#","Reel","Match","V","C","Dur","Source In","Source Out","Record Duration","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"118","","","","C","","00:04:36:14","00:04:36:15","00:00:00:01","00:04:36:14","00:04:36:15","","","","","","","0.000","","Pink","TagOn.Activation #54","",""
"119","","","","C","","00:04:38:14","00:04:38:15","00:00:00:01","00:04:38:14","00:04:38:15","","","","","","","0.000","","Green","TagOn #54","",""
"120","","","","C","","00:04:39:13","00:04:39:14","00:00:00:01","00:04:39:13","00:04:39:14","","","","","","","0.000","","Pink","TagOn.Activation #55","",""
"121","","","","C","","00:04:41:04","00:04:41:05","00:00:00:01","00:04:41:04","00:04:41:05","","","","","","","0.000","","Green","TagOn #55","",""
"122","","","","C","","00:04:42:13","00:04:42:14","00:00:00:01","00:04:42:13","00:04:42:14","","","","","","","0.000","","Pink","TagOn.Activation #55","",""
"123","","","","C","","00:04:44:00","00:04:44:01","00:00:00:01","00:04:44:00","00:04:44:01","","","","","","","0.000","","Green","TagOn #56","",""
"124","","","","C","","00:04:44:15","00:04:44:16","00:00:00:01","00:04:44:15","00:04:44:16","","","","","","","0.000","","Pink","TagOn.Activation #56","",""
"125","","","","C","","00:04:46:08","00:04:46:09","00:00:00:01","00:04:46:08","00:04:46:09","","","","","","","0.000","","Green","TagOn #57","",""
"126","","","","C","","00:04:47:15","00:04:47:16","00:00:00:01","00:04:47:15","00:04:47:16","","","","","","","0.000","","Pink","TagOn.Activation #57","",""
"127","","","","C","","00:04:49:17","00:04:49:18","00:00:00:01","00:04:49:17","00:04:49:18","","","","","","","0.000","","Yellow","AB6 Single Tag1.1 (Z-)","",""
"128","","","","C","","00:05:02:18","00:05:02:19","00:00:00:01","00:05:02:18","00:05:02:19","","","","","","","0.000","","Green","TagOn #58","",""
"129","","","","C","","00:05:03:16","00:05:03:17","00:00:00:01","00:05:03:16","00:05:03:17","","","","","","","0.000","","Pink","TagOn.Activation #58","",""
"130","","","","C","","00:05:06:01","00:05:06:02","00:00:00:01","00:05:06:01","00:05:06:02","","","","","","","0.000","","Green","TagOn #59","",""
"131","","","","C","","00:05:06:16","00:05:06:17","00:00:00:01","00:05:06:16","00:05:06:17","","","","","","","0.000","","Pink","TagOn.Activation #59","",""
"132","","","","C","","00:05:09:03","00:05:09:04","00:00:00:01","00:05:09:03","00:05:09:04","","","","","","","0.000","","Green","TagOn #60","",""
"133","","","","C","","00:05:09:15","00:05:09:16","00:00:00:01","00:05:09:15","00:05:09:16","","","","","","","0.000","","Pink","TagOn.Activation #60","",""
"134","","","","C","","00:05:12:12","00:05:12:13","00:00:00:01","00:05:12:12","00:05:12:13","","","","","","","0.000","","Green","TagOn #61","",""
"135","","","","C","","00:05:13:17","00:05:13:18","00:00:00:01","00:05:13:17","00:05:13:18","","","","","","","0.000","","Pink","TagOn.Activation #61","",""
"136","","","","C","","00:05:15:20","00:05:15:21","00:00:00:01","00:05:15:20","00:05:15:21","","","","","","","0.000","","Green","TagOn #62","",""
"137","","","","C","","00:05:16:16","00:05:16:17","00:00:00:01","00:05:16:16","00:05:16:17","","","","","","","0.000","","Pink","TagOn.Activation #62","",""
"138","","","","C","","00:05:18:20","00:05:18:21","00:00:00:01","00:05:18:20","00:05:18:21","","","","","","","0.000","","Green","TagOn #63","",""
"139","","","","C","","00:05:19:16","00:05:19:17","00:00:00:01","00:05:19:16","00:05:19:17","","","","","","","0.000","","Pink","TagOn.Activation #63","",""
"140","","","","C","","00:05:21:12","00:05:21:13","00:00:00:01","00:05:21:12","00:05:21:13","","","","","","","0.000","","Green","TagOn #64","",""
"141","","","","C","","00:05:22:16","00:05:22:17","00:00:00:01","00:05:22:16","00:05:22:17","","","","","","","0.000","","Pink","TagOn.Activation #64","",""
"142","","","","C","","00:05:24:20","00:05:24:21","00:00:00:01","00:05:24:20","00:05:24:21","","","","","","","0.000","","Red","Error-start #6","",""
"143","","","","C","","00:05:27:20","00:05:27:21","00:00:00:01","00:05:27:20","00:05:27:21","","","","","","","0.000","","Red","Error-end #6","",""
"144","","","","C","","00:05:28:00","00:05:28:01","00:00:00:01","00:05:28:00","00:05:28:01","","","","","","","0.000","","Green","TagOn #66","",""
"145","","","","C","","00:05:28:15","00:05:28:16","00:00:00:01","00:05:28:15","00:05:28:16","","","","","","","0.000","","Pink","TagOn.Activation #66","",""
